"","tree","chamber","date","flux","fluxMedian","fluxSD","flux_g","fluxMedian_g","fluxSD_g","AIC","r2"
"50","26","1","2017-06-19","2.69300925404749","2.80357980641486","0.21587264894916","2.79467143059149","2.90941606553894","0.22402192779605","309.586067123339","0.946913585601648"
"51","26","2","2017-06-19","3.1091112826134",NA,"0.0207119097320081","3.22648147717657",NA,"0.0214937926091553","123.058930185652","0.997476836284658"
"52","26","3","2017-06-19","3.12033880258506","3.16102712222265","0.0539614389166971","3.23813284051817","3.2803571604974","0.055998504820378","215.258381748589","0.996060293028944"
"53","27","1","2017-06-19","2.66542277918166",NA,"0.0252992212229557","2.76604355526487",NA,"0.0262542769438107","110.649080580319","0.995515642908664"
"54","27","2","2017-06-19","3.29971006546428",NA,"0.0288889746571045","3.42427544031958",NA,"0.0299795450060001","144.502609310741","0.995877956486352"
"55","27","3","2017-06-19","3.44224273173968","3.48377744575629","0.0751903273472731","3.57218877175995","3.61529143784457","0.0780287922807636","194.948137436572","0.996287346024792"
"56","28","1","2017-06-19","2.03640521973223","2.07355251478218","0.0250538644313319","2.11328033133921","2.15182995163622","0.0259996578351605","155.981630556642","0.996202106307177"
"57","28","2","2017-06-19","1.87102077802643",NA,"0.0129952004357375","1.94165256080524",NA,"0.0134857744502668","57.5984664041007","0.997353812063065"
"58","29","1","2017-06-19","3.80899437741323",NA,"0.0298619062645442","3.95278543875833",NA,"0.0309892051707932","149.003738546054","0.996691972487738"
"59","29","2","2017-06-19","4.18107464143826",NA,"0.0558140779644138","4.33891188158241",NA,"0.0579210817332016","139.431437371197","0.992571132735864"
"60","30","1","2017-06-19","2.6166031996004","2.56086213011102","0.080055863844926","2.7153810170266","2.65753569986757","0.0830780047274175","260.082394278938","0.987933480888443"
"61","31","1","2017-06-19","3.08913553044412","3.12290638400229","0.0329754685845847","3.2057516323726","3.24079734916093","0.0342203057138402","124.22271645873","0.998101651464963"
"62","32","1","2017-06-19","1.02280753297229","0.989201862656157","0.0500400764946544","1.06141892646501","1.02654462865217","0.0519291093983582","115.662540844178","0.987156119095132"
"63","32","2","2017-06-19","0.769862921413628","0.790859143501484","0.0495871447303752","0.798925554642162","0.820714392512322","0.0514590792788047","103.538865425372","0.972798651355967"
"64","33","1","2017-06-23","0.854139027579094","0.836719783634333","0.045640606183615","0.886383117525816","0.868306290154442","0.047363557323289","142.08796941708","0.968692433203308"
"65","33","2","2017-06-23","0.822627640940136","0.771432828866628","0.0267591951420226","0.853682163436682","0.800554726729475","0.027769365462312","636.099461039158","0.953125127905466"
"66","34","1","2017-06-19","1.34637037021639","1.3690987997785","0.0363434480381664","1.39719639024021","1.42078282710966","0.0377154277389865","118.224753176655","0.994755833859186"
"67","34","2","2017-06-19","3.20510733211642",NA,"0.0168599072915407","3.32610141594674",NA,"0.0174963755357593","90.3467920086726","0.998480406435902"
"68","34","3","2017-06-19","2.58545909011328","2.61941846572506","0.0802019908554586","2.68306120494869","2.71830256057356","0.0832296480910484","218.149434355061","0.993092169639053"
